name;number;longitude;latitude;address;id;distrito;cod_postal
General Martínez Campos ;125;-3.6948626;40.4352850;Calle Fernández de la Hoz nº 29;164;07  CHAMBERÍ;28010
General Álvarez de Castro;126;-3.7015686;40.4344731;Calle del General Álvarez de Castro nº 2;163;07  CHAMBERÍ;28010
Fernando el Católico;127;-3.7084390;40.4338516;Calle Fernando el Católico nº 19;168;07  CHAMBERÍ;28015
Cea Bermúdez;128;-3.7154329;40.4389940;Calle Cea Bermúdez nº 59;160;07  CHAMBERÍ;28003
José Abascal;129;-3.6982209;40.4385316;Calle José Abascal nº 33;161;07  CHAMBERÍ;28003
Santa Engracia 127;130;-3.7016321;40.4413860;Calle Santa Engracia nº 127;157;07  CHAMBERÍ;28003
Bravo Murillo 44;131;-3.7039582;40.4412115;Calle Bravo Murillo nº 44;156;07  CHAMBERÍ;28003
Glorieta de los Cuatro Caminos;132;-3.7036675;40.4463667;Calle Santa Engracia nº 168;149;07  CHAMBERÍ;28003
Raimundo Fernández;133;-3.7001669;40.4471250;Calle Raimundo Fernández Villaverde nº 33-35;150;06  TETUÁN;28003
Agustín de Betancourt;134;-3.6956047;40.4440297;Calle María de Guzmán nº 58;153;07  CHAMBERÍ;28003
Plaza de San Juan de la Cruz;135;-3.6927821;40.4415974;Plaza de San Juan de la Cruz nº 11;158;07  CHAMBERÍ;28003
Castellana 106;136;-3.6908610;40.4453307;Paseo de la Castellana nº 106;151;05  CHAMARTÍN;28046
Plaza de la República Argentina;137;-3.6853312;40.4454110;Plaza de la República Argentina nº 6-7;152;05  CHAMARTÍN;28002
Paseo de la Castellana con Raimundo Fernández;138;-3.6917932;40.4457414;Paseo de la Castellana nº 67;154;07  CHAMBERÍ;28046
José Gutiérrez Abascal ;139;-3.6907784;40.4396792;Calle José Gutiérrez Abascal nº 2;159;05  CHAMARTÍN;28006
Velázquez 130;140;-3.6828620;40.4379444;Calle Velázquez nº 130;162;05  CHAMARTÍN;28006
Pº Castellana - Glorieta de Emilio Castelar;141;-3.6892368;40.4355143;Paseo de la Castellana nº 43;165;07  CHAMBERÍ;28046
Castellana 42;142;-3.6879154;40.4334087;Paseo de la Castellana nº 42;167;04  SALAMANCA;28046
Diego de León 52;143;-3.6784920;40.4345973;Calle Diego de León nº 52;166;04  SALAMANCA;28006
Juan Bravo 50;144;-3.6758555;40.4323655;Calle Juan Bravo nº 50;170;04  SALAMANCA;28006
Ortega y Gasset 87;145;-3.6712823;40.4298870;Calle Ortega y Gasset nº 87;171;04  SALAMANCA;28006
María Francisca 1;146;-3.6787169;40.4442258;Calle María Francisca nº 1;155;05  CHAMARTÍN;28002
Doctor Arce 45;147;-3.6797296;40.4483269;Avenida del Doctor Arce nº 45;148;05  CHAMARTÍN;28002
Serrano 210;148;-3.6817962;40.4510188;Calle Serrano nº 210;144;05  CHAMARTÍN;28002
Paseo de la Habana 42;149;-3.6881689;40.4498613;Paseo de la Habana nº 42;146;05  CHAMARTÍN;28036
Castellana frente a Hermanos Pinzón;150;-3.6905604;40.4488924;Paseo de la Castellana nº 124;147;05  CHAMARTÍN;28046
Orense 12;151;-3.6952860;40.4480662;Calle Orense nº 12;145;06  TETUÁN;28020
General Perón 1;152;-3.6990077;40.4527164;Avenida del General Perón nº 1-4;142;06  TETUÁN;28020
General Perón con Poeta Joan Maragall;153;-3.6926510;40.4522938;Avenida del General Perón nº 36;143;06  TETUÁN;28020
Orense 36;154;-3.6946218;40.4548456;Calle Orense nº 36;141;06  TETUÁN;28020
San Germán;155;-3.7009675;40.4572824;Calle del General Yagüe nº 57;139;06  TETUÁN;28020
Sor Ángela de la Cruz;156;-3.6915330;40.4592351;Calle Sor Ángela de la Cruz nº 2;140;06  TETUÁN;28020
Castellana 164;157;-3.6894151;40.4591366;Paseo de la Castellana nº 164;137;05  CHAMARTÍN;28046
Alberto Alcocer;158;-3.6847150;40.4585318;Avenida de Alberto Alcocer nº 22;138;05  CHAMARTÍN;28036
Paseo de la Habana 63;159;-3.6835926;40.4543852;Paseo de la Habana nº 63;173;05  CHAMARTÍN;28036
Colombia;160;-3.6763439;40.4572466;Calle Colombia nº 7;172;05  CHAMARTÍN;28016
Paseo de la Florida;161;-3.7218482;40.4220812;Paseo de la Florida nº 8;132;09  MONCLOA;28008
Metro Pirámides;162;-3.7108108;40.4034076;Paseo de los Olmos nº 28;133;02  ARGANZUELA;28005
Paseo de la Esperanza;163;-3.7064516;40.4035988;Paseo de la Esperanza nº 2;134;02  ARGANZUELA;28005
Paseo de las Delicias;164;-3.6945025;40.3972616;Paseo de las Delicias nº 92-94;136;02  ARGANZUELA;28045
Entrada Matadero;165;-3.6971829;40.3919385;Paseo de la Chopera nº 14;135;02  ARGANZUELA;28045
Segovia 26;166;-3.7135833;40.4138333;Calle Segovia, 26;174;01  CENTRO;28005
Segovia 45;167;-3.717487;40.413736;Calle Segovia, 45;175;01  CENTRO;28005
